Motorola Xoom 2,Android,800,1280
Motorola Xoom 2 Media Edition,Android,800,1280
Nexus 10,Android,800,1280
Nexus 4,Android,384,598
Nexus 5,Android,360,598
Nexus 7,Android,603,966
Nexus 7,Android,600,961
Nexus 7,Android,601,962
Nexus 7 (LCD Density set to 175PPI),Android,731,1170
Nexus 7 (2013),Android,600,960
Nexus One,Android,320,533
Nexus S,Android,320,533
Nintendo 3DS,3DS,416,-
Nintendo 3DS XL,3DS,416,-
Nintendo DSi,DSi,256,-
Nintendo DSi XL,DSi,240,-
Nintendo Wii,Wii,800,-
Nintendo Wii U,Wii U,854,-
Nokia 2700,S40,240,-
Nokia Asha 300,Proprietary (Nokia),234,-
Nokia Asha 302,Proprietary (Nokia),314,-
Nokia 500,Symbian,360,640
Nokia 700 (Opera Mobile),Symbian,240,427
Nokia E61i,S60,320,-
Nokia E71,S60,320,-
Nokia Lumia 520,WP8,320,480
Nokia Lumia 610,WP7,320,480
Nokia Lumia 710,WP7,320,480
Nokia Lumia 720,WP7,320,480
Nokia Lumia 800,WP7,320,480
Nokia Lumia 820,WP8,320,480
Nokia Lumia 900,WP7,320,480
Nokia Lumia 920,WP8,320,480
Nokia Lumia 925,WP8,320,480
Nokia Lumia 1520,WP8,320,480
Nokia N9,MeeGo,320,496
Nokia N900,Maemo,480,800
Nokia N95,S60,240,-
Palm Pixi,WebOS,320,480
Palm Pre,WebOS,320,-
Panasonic Toughpad FZ-A1,Android,768,1024
PendoPad 7&quot;,Android,480,800
PendoPad 10&quot;,Android,600,1024
Pioneer Dreambook,Android,768,1024
Samsung Ativ S,WP8,320,480
Samsung E3210,Proprietary (Java),128,-
Samsung Galaxy 5/Europa I5500,Android,320,427
Samsung Galaxy Ace S5830,Android,320,480
Samsung Galaxy Ace 2 I8160,Android,320,533
Samsung Galaxy Ace Plus S7500,Android,320,480
Samsung Galaxy Beam I8530,Android,320,533
Samsung Galaxy Camera GC100,Android,360,598
Samsung Galaxy Mini S5570,Android,240,320
Samsung Galaxy Mini 2 S6500,Android,320,480
Samsung Galaxy Note N700,Android,400,640
Samsung Galaxy Note 10.1 N8010,Android,800,1280
Samsung Galaxy Note 10.1 N8010 (Multiscreen Enabled),Android,800,637
Samsung Galaxy Note 10.1 (2014 Edition) P600,Android,800,1280
Samsung Galaxy Note 2 N7100,Android,360,640
Samsung Galaxy Note 3 N9005,Android,360,640
Samsung Galaxy Note 8.0 N5100,Android,601,962
Samsung Galaxy Note 8.0 N5110,Android,601,962
Samsung Galaxy S I9000,Android,320,533
Samsung Galaxy S Duos S7562,Android,320,533
Samsung Galaxy S WiFi YPG70CW,Android,320,533
Samsung Galaxy S2 I9100,Android,320,533
Samsung Galaxy S3 I9300,Android,360,640
Samsung Galaxy S3 Mini I8190,Android,320,533
Samsung Galaxy S4 I9500,Android,360,640
Samsung Galaxy S4 I9505,Android,360,640
Samsung Galaxy S4 Active I9295,Android,360,640
Samsung Galaxy S4 Mini I9190,Android,360,640
Samsung Galaxy S4 Zoom SM-C105,Android,360,640
Samsung Galaxy Tab 10.1 P7510,Android,800,1280
Samsung Galaxy Tab 2 10.1 P5110,Android,800,1280
Samsung Galaxy Tab 2 7.0 P3110,Android,600,1024
Samsung Galaxy Tab 3 7.0 T210,Android,600,1024
Samsung Galaxy Tab 3 8.0 T310,Android,602,962
Samsung Galaxy Tab 3 10.1 P5210,Android,800,1280
Samsung Galaxy Tab 3 Kids T2105,Android,600,1024
Samsung Galaxy Tab 7.7 P6810,Android,800,1280
Samsung Galaxy Tab 7.0 Plus P6210,Android,600,1024
Samsung Galaxy Tab 8.9 P7310,Android,800,1280
Samsung Galaxy Tab 8.9 4G P7320,Android,800,1280
Samsung Galaxy Tab P1000,Android,400,683
Samsung Galaxy X Cover 2 S7710 ,Android,320,533
Samsung Galaxy Y S5360,Android,320,427
Samsung Galaxy Young S6310,Android,320,480
Samsung Infuse 4G I997,Android,320,533
Samsung Omnia W I8350,WP7,320,480
